nGram,size,mormonFreq,nonMormonFreq
my young men,3,3,4
yea upon all the,4,1,1
it patiently,2,3,2
the gospel but,3,1,2
the lord an,3,2,5
form,1,15,24
the lord at,3,1,16
the lord as,3,2,47
will say,2,6,29
tell you,2,10,27
the lord am,3,21,4
off the dust,3,3,3
power according to the,4,1,1
that generation,2,2,3
that are dead,3,1,2
spirit to,2,5,14
appointed for,2,7,9
unto victory,2,1,1
driven to,2,1,4
through him and,3,2,1
exalted the,2,1,3
officers in the,3,3,1
unto thee and,3,1,47
be put upon,3,1,1
to that which,3,18,12
his work and,3,2,3
ye shall be the,4,1,1
with us in,3,1,5
name be named,3,1,1
what ye shall say,4,2,3
the covering,2,1,16
go,1,189,1492
obey the,2,5,17
these things shall come to,5,1,1
unto them these,3,1,3
voice and,2,25,65
been hid,2,3,3
jesus christ is,3,4,6
the name of jesus and,5,2,1
should come upon,3,2,2
the disposition of,3,1,1
are set forth,3,1,1
he,1,870,10419
of ephraim,2,7,68
to have sent,3,1,1
second also and the,4,1,1
crowns upon their,3,1,1
unto you saith,3,3,3
shall be left of them,5,1,1
the times of the,4,4,1
business and,2,2,7
by power,2,2,1
jesus christ in,3,3,3
cease the,2,1,1
for the blood,3,1,4
eye that,2,1,2
lay their,2,3,7
if,1,394,1595
in,1,2414,12667
exalted therefore,2,1,1
command you that,3,4,2
is,1,1270,6989
it,1,935,6129
are those that,3,1,1
of all these things,4,1,5
and the lot of the,5,1,2
this is the will of,5,5,3
are ye for,3,2,1
by baptism,2,4,1
enemies and,2,5,49
shall say no,3,1,3
from affliction,2,1,1
having the,2,2,14
ungodly and,2,1,6
works that they,3,1,2
men and they,3,2,20
shall also go,3,2,1
four,1,25,328
call upon his,3,1,4
can get,2,1,1
forsake the,2,1,10
the three sons,3,1,3
sixth day,2,2,6
rocks and,2,1,6
evil day,2,1,2
the mountains are the feet,5,1,1
the lord he,3,2,47
perceived that,2,1,19
the sea,2,15,315
offices that,2,1,1
but i say unto,4,1,15
all generations,2,3,19
and will give unto,4,1,1
heart therefore,2,1,2
not committed,2,2,1
my words unto,3,1,3
take when,2,1,1
god appeared,2,1,2
lo,1,40,159
from the beginning which,4,1,1
the thoughts and intents,4,2,1
him seeking,2,1,1
they all might,3,1,1
in light and,3,1,1
the eyes,2,14,85
in prison which sometime were,5,1,1
me,1,486,4096
not be removed,3,1,2
life for my sake,4,3,5
communication,1,1,6
this was the first,4,1,1
believe and know the truth,5,1,1
thee power,2,1,1
and thy saints,3,1,1
i say that,3,6,9
my,1,1539,4368
and worship the,3,2,3
as the lord shall,4,1,1
was appointed,2,5,1
been cut off,3,1,1
declare the,2,6,6
of the lord is at,5,1,3
sitting,1,2,43
the lord in,3,20,91
not write,2,4,1
the lord it,3,10,24
gospel preached to,3,2,1
the lord is,3,23,168
no,1,184,1394
the lord if,3,1,10
the time when they,4,1,1
it is impossible,3,1,4
that thy name may be,5,1,1
of these things which,4,1,4
the set,2,1,10
the ground upon,3,1,1
his counsel,2,1,4
unto them and,3,14,58
to the council,3,1,1
words i have,3,2,4
that their hearts,3,1,1
the officers,2,3,21
of,1,5215,34670
and according to,3,9,42
oh,1,2,38
came and dwelt,3,1,6
jesus christ of,3,19,4
on,1,302,2011
few there be,3,1,1
enemies are,2,1,3
great evil,2,1,8
not attain,2,1,1
or,1,439,1122
teach,1,32,108
choke,1,1,2
ox,1,1,64
the thunder of,3,1,2
the lord to,3,11,96
i declare,2,2,6
sabbath after,2,1,1
one heart and,3,1,3
my spirit that,3,2,2
the unjust that,3,1,1
for i am,3,18,90
whither they,2,1,16
will consecrate,2,3,1
filled the,2,3,23
into the field,3,3,15
about and in,3,1,1
in those things which,4,1,2
and whosoever and,3,1,2
heaven clothed,2,2,1
voice of the lord saying,5,1,1
the word of knowledge,4,1,1
your brethren the,3,1,7
of my redeemed,3,1,1
be with him and he,5,1,1
the justice,2,2,1
mine anger is,3,4,2
her light,2,1,5
and wonders,2,3,19
for your father,3,1,1
men ought,2,1,3
profited,1,2,6
which are revealed,3,1,1
decision,1,17,2
people and say unto them,5,1,2
and what can,3,1,4
folly and,2,2,2
his steward,2,1,2
hearken to the,3,5,10
things before,2,2,4
go ye shall,3,1,2
judge between me and,4,1,3
i beheld the,3,1,5
the six,2,1,15
that i have,3,16,92
the sin,2,2,71
of me i,3,1,2
and throw down the,4,1,1
and the servants of,4,2,11
so,1,143,1689
of his lord,3,2,5
till i,2,3,20
difference between,2,1,9
and of creeping,3,1,1
have testified,2,1,1
abominable,1,1,23
other sheep,2,2,1
do nothing,2,2,12
up saith,2,2,1
give unto you,3,85,7
is a wicked,3,1,3
to,1,3023,13580
stone which is,3,1,1
and i will draw,4,1,4
in the beginning of the,5,2,9
servant hath,2,1,6
the lord of,3,20,277
so that,2,7,206
and to whomsoever,3,1,1
a sign that,3,1,1
and let all the,4,3,4
up,1,278,2380
knowledge of all the,4,1,1
the lord was angry,4,2,4
us,1,66,1448
baptism of repentance for,4,1,2
you therefore ye,3,1,1
of and upon the,4,1,2
of the city and,4,1,44
which i have given unto,5,14,2
the battle,2,1,81
them power,2,2,3
man made,2,1,2
them all these,3,1,1
his people and shall,4,1,1
and cause that,3,1,1
we,1,168,1844
divided against the,3,1,1
power according to,3,1,1
as a flame of,4,1,2
of the firmament,3,1,2
men heard,2,1,2
is no other,3,1,2
not tarry neither,3,1,1
and the grace of,4,1,3
full of the holy,4,1,4
it had been better,4,3,2
offspring and,2,1,2
churches,1,28,37
that which doth,3,1,2
may be established,3,1,2
well pleased,2,18,9
who should,2,6,7
and prepare them,3,1,1
not of men,3,1,2
will also,2,3,44
there came a voice,4,1,4
all the elders,3,2,18
and the voice,3,8,22
to us and,3,1,5
ye,1,609,3983
that they may behold,4,1,2
so they,2,1,86
god gave unto,3,1,4
a testimony,2,8,12
own blood,2,2,7
i say thou,3,1,1
the son,2,63,1500
supplication and,2,1,3
sealed unto,2,2,1
is wrong,2,1,1
it shall be told,4,1,2
in houses,2,1,2
father full of,3,1,1
shall be hewn down,4,2,1
whither they shall,3,1,1
and is found,3,1,2
take up their,3,1,1
the face thereof and,4,1,1
the gate through,3,1,1
latter days,2,2,11
upon your own heads,4,1,1
before them in,3,1,2
live according to,3,4,1
hold him guiltless that,4,1,2
will smite,2,2,20
rise from,2,1,4
among many nations,3,1,1
all his words,3,1,2
the nature,2,3,1
of the seed of,4,1,13
go your way,3,1,8
in the flesh who,4,1,1
parable of the,3,8,4
the sum,2,1,17
the sun,2,19,151
pavilion,1,2,4
gospel of jesus christ,4,5,1
of the blessing,3,1,2
command them to go,4,1,1
is a god in heaven,5,1,1
upon your,2,8,18
therefore will,2,1,40
the same is my,4,2,2
preaching the word,3,3,3
from above,2,7,23
strengthening,1,2,2
been able,2,1,1
the elect of,3,1,1
desolation shall,2,2,2
i the lord your,4,2,1
the pricks,2,1,2
god for,2,16,98
is infinite,2,1,1
ye serve,2,1,6
well for,2,2,4
make thee,2,1,71
is not good,3,2,17
daniel the,2,1,3
oaths,1,1,3
the nations that forget,4,1,1
was a great,3,1,18
unto the lord from,4,2,1
the day of trouble,4,1,6
make them,2,1,59
bring us to god being,5,1,1
hope of a,3,2,3
forgiven you for,3,1,1
ye my people,3,1,1
heaven will i,3,1,1
valley of,2,2,79
and do with,3,1,2
the remission of sins,4,8,5
own way,2,3,6
clean that bear the vessels,5,2,1
people behold i,3,2,3
the desire of their,4,1,1
a a,2,2,7
upon line,2,2,4
it contained,2,1,1
instruction and,2,1,8
made perfect he,3,1,1
these things unto you,4,2,1
your life,2,1,5
return upon,2,1,5
also that are heavenly,4,1,1
man but for,3,1,3
spirit of meekness,3,5,2
thrust down to hell,4,1,1
law and,2,20,60
his heart against,3,1,1
back and,2,1,24
performing,1,2,2
so thou,2,1,12
lay all,2,1,2
witnesses in,2,1,1
ready and,2,3,1
are under,2,5,10
set over,2,1,15
see that they,3,1,3
justice of,2,1,1
therefore i will,3,3,22
that unto this,3,1,1
will gather,2,4,17
unto her,2,6,179
and should,2,3,10
obeyed my voice,3,1,7
virgin,1,1,34
shall prepare,2,1,15
lay and,2,1,5
a dead man,3,1,4
and if not,3,2,7
time be,2,2,1
for a,2,75,525
ye into the,3,2,2
holiest of all,3,2,2
baptisms,1,9,1
unto them for an,4,1,1
time as,2,4,6
marrow,1,6,5
first shall be last,4,1,2
unto his,2,13,244
may abide,2,2,3
commandments and the,3,4,3
not the earth,3,1,2
unto him,2,98,1128
word of the lord concerning,5,2,1
to the supplication,3,2,1
masters,1,2,22
a better,2,1,7
him and after,3,1,1
their hands in,3,1,1
you for they,3,1,1
of the and that,4,1,4
are not of this fold,5,1,1
hosanna,1,5,6
time by,2,3,2
manifest in the,3,1,1
two hundred years,3,1,1
and of him,3,3,6
thy fellow,2,1,1
their hands at,3,1,2
law are,2,1,4
to go with,3,1,7
he redeemed them and,4,1,1
i will be merciful,4,3,1
should love,2,1,1
may make,2,1,8
many that,2,2,16
have promised,2,4,2
time is not yet,4,1,2
and of his,3,3,24
neither for the,3,1,1
according to his works,4,2,3
house therefore,2,1,3
just for the,3,1,2
shall command him,3,1,1
him again,2,4,24
dumb to,2,1,2
for i,2,86,425
of ephraim and his,4,1,1
integrity of his heart,4,2,1
to sit on the throne,5,1,1
justice to,2,1,1
lay any,2,1,1
departed,1,3,216
i have heard their,4,1,1
it and every,3,1,2
whom the father,3,2,3
angel of the lord and,5,1,2
not obtain,2,3,1
shall say i,3,2,3
a flame of fire,4,1,7
temptation and,2,2,1
witnesses or,2,1,2
cast down,2,3,34
the word of exhortation,4,1,1
of the blood which,4,1,1
not make one,3,1,1
in the fortieth,3,1,3
of their enemies,3,2,19
witnesses of,2,3,5
to this house,3,1,3
he came,2,3,113
the earth unto,3,1,2
thy years shall,3,1,2
saying give me,3,1,2
till we,2,1,5
last time,2,9,4
is angry,2,1,2
you if a man,4,4,3
open their,2,4,1
a spiritual body,3,1,2
jesus christ is the son,5,1,1
time he,2,4,6
the inheritances,2,1,1
it begin,2,2,1
egypt and my,3,1,1
the tabernacle,2,2,289
and the giving of the,5,1,1
throughout galatia,2,1,1
greater riches,2,1,1
be given unto him,4,3,1
be laid,2,3,15
first and the,3,2,9
hundred,1,25,590
enemy but,2,1,1
everlasting dominion and,3,1,1
man abide,2,1,5
to magnify,2,2,1
time is,2,8,20
ye shall inherit the,4,1,1
time in,2,9,14
the key of,3,4,5
him saying avenge me of,5,1,1
by love unfeigned,3,1,1
fourth generation of,3,2,2
the said,2,1,7
may not understand,3,1,1
at this time,3,17,12
afflictions,1,9,13
equity and,2,2,1
even the of,3,2,1
this day thou shalt,4,1,1
my church and,3,21,1
the love of the father,5,1,1
and returned to,3,1,15
name in the,3,1,3
messenger,1,4,34
baptized every one of you,5,1,1
thy son,2,6,72
is true,2,6,22
mine house and,3,2,7
off in,2,1,11
and the and the,4,5,115
the most high god,4,3,11
christ to whom,3,1,2
when i came,3,1,9
all the words which,4,1,4
and they rose up and,5,1,1
at the feet of,4,3,2
to return from,3,1,1
disciples and they,3,1,2
of the earth come,4,1,1
whether for,2,1,1
but also,2,4,23
witnesses to,2,6,1
at the day,3,2,2
in the greatness,3,1,4
of the whole church,4,2,1
again but,2,1,6
become the sons,3,5,1
the words of the,4,4,69
out of the world,4,12,5
coming and shall,3,1,3
the words of eternal,4,1,1
ye both,2,1,2
devils and,2,1,13
and gave,2,6,119
he that me my,4,1,1
the living god the,4,2,2
up unto this,3,2,1
the sand,2,2,28
the trumpets,2,2,25
the wife is,3,1,2
unto him from,3,1,6
and the opening of,4,1,2
offered the,2,1,5
the salt,2,2,15
lord for there,3,1,3
earth come,2,1,2
world in the,3,2,1
blessed are the poor,4,1,1
the ten,2,4,17
i shall give him,4,1,2
build up a,3,2,1
if he be the,4,1,1
to the and the,4,1,2
and hearken not,3,1,1
the same,2,97,303
the mouth of the lord,5,4,11
strengthen them,2,3,1
apostles that,2,1,1
are they whose,3,3,1
upon the walls,3,1,3
celestial is one,3,1,1
run and not be weary,5,1,1
his light,2,1,5
conduct,1,5,3
but not of,3,2,2
his head the,3,1,1
of god against,3,1,1
the the,2,1,139
of satan,2,8,7
his life for my sake,5,3,4
god having,2,1,4
but verily,2,19,1
to pass that there shall,5,1,1
is by interpretation,3,1,2
he that and,3,7,20
left to the,3,1,1
name is the,3,1,6
little and there,3,1,2
sorely,1,1,2
life in the,3,2,5
to their families,3,1,27
christ,1,155,571
to the holy,3,4,4
and things,2,2,8
and give thee,3,1,10
themselves are the,3,1,1
may be one even as,5,1,1
religion,1,4,5
observe all things,3,1,1
place which i,3,3,2
and that,2,106,390
shed innocent,2,5,7
this is one,3,1,3
affliction and the,3,1,2
oft as,2,1,2
to build a tower,4,1,1
witnessing,1,1,1
all things are by,4,1,1
jewish,1,1,1
it except,2,1,1
wear the,2,1,1
truth because,2,1,2
of david and,3,1,43
why is it that ye,5,1,1
death or things present,4,1,1
made ruler over,3,4,1
lesser,1,12,3
the seventh day he,4,1,5
transgressor,1,5,5
till he,2,2,23
in the church by,4,3,1
be last,2,1,4
unto those,2,6,11
the journeying of,3,1,1
have no power,3,3,4
would make known,3,1,1
the which there,3,1,2
the midst of all,4,1,2
reason with you,3,3,1
wicked men in,3,1,1
he came in,3,1,3
shall overcome,2,7,4
of the kingdom,3,31,37
we should have,3,1,3
which is in heaven and,5,1,1
father therefore,2,1,1
and beat upon,3,1,2
and all flesh shall,4,2,4
aaron among,2,1,1
there can,2,4,1
but six,2,1,1
lord supper,2,1,1
to that,2,26,40
and i will bless her,5,1,1
pit for,2,1,2
his fulness,2,8,1
of the beasts,3,1,6
low and the,3,1,3
there arose a great,4,1,4
wicked in their,3,1,1
may be required,3,1,1
on my right hand,4,1,9
stink and,2,1,3
to thee,2,4,129
exercised in,2,1,1
and them,2,6,92
and then,2,51,52
earth shall be loosed in,5,3,2
in a book,3,1,12
unto you this is my,5,1,1
swim,1,1,6
and they,2,147,2094
preaching the,2,6,13
preparation of the,3,1,2
for i will give,4,1,3
unto the law of god,5,1,1
and behold thou art,4,1,1
preach the gospel in,4,2,1
fall down and worship,4,1,4
the wicked have,3,1,5
the blood,2,11,178
shall behold it,3,1,1
come that i will,4,1,3
say that,2,14,34
he being,2,1,5
and thee,2,5,25
are of the,3,9,16
mourn and,2,2,13
houses which,2,1,3
not that i,3,2,16
testified of,2,5,4
forth the word,3,1,1
ye swift,2,1,1
the resurrection from,3,3,3
everlasting fire prepared,3,1,1
and arise,2,3,7
and is not,3,8,9
old when he was,4,7,1
the lord saying,3,1,41
israel twelve,2,1,6
by the hand of his,5,1,6
commune,1,1,8
caught in,2,1,2
anointed,1,12,98
and it not,3,2,9
yesterday,1,3,9
saw that,2,1,112
for there are,3,6,7
record that they,3,1,1
of the firstborn and,4,4,1
to them,2,19,228
judged out of those things,5,2,1
the top,2,1,85
we not taken,3,1,1
this book of,3,2,4
and righteous,2,1,7
to know,2,24,49
and the holy,3,6,14
ye shall know the,4,1,1
therefore let no man,4,2,1
and this,2,79,153
to give them,3,1,14
shall rise from the dead,5,1,1
yet they are,3,1,2
more perfectly,2,3,3
come upon,2,28,96
rend the heavens that thou,5,1,1
and edify,2,1,1
who created,2,1,2
polished,1,1,3
and he will,3,3,55
say they,2,3,15
me there is,3,1,3
the spirit that,3,1,10
and know,2,22,19
in all the world for,5,1,1
of that wicked,3,1,2
then behold,2,5,3
let them take their,4,3,1
lord and he shall,4,2,11
army with,2,2,3
to inherit the,3,1,3
bowels,1,6,39
thy right,2,1,35
in those things which they,5,1,1
rebelled against the,3,1,10
break forth into singing,4,1,4
that find it,3,1,1
and behold they,3,2,18
and take all the,4,1,1
to this,2,27,49
sharper than a,3,5,1
power both,2,1,1
the dead small,3,1,1
as i was,3,1,12
all the ends of the,5,3,8
the two,2,6,144
come up unto me and,5,1,1
will publish,2,1,1
wine the,2,1,5
my voice and i,4,1,2
be in a,3,1,1
own family,2,1,1
wisdom that they,3,1,3
with new,2,1,3
temperate in all,3,1,1
may bring forth,3,1,4
length thereof,2,2,25
do wickedly,2,4,6
while and ye shall see,5,1,3
of heaven can not,4,1,1
talked with,2,1,36
one shall be,3,1,8
hear the voice,3,3,8
his death but,3,1,1
will work,2,1,4
say this,2,3,7
before kings,2,1,4
a land flowing with milk,5,1,6
look back,2,1,2
own will and,3,2,2
be given to them,4,1,3
the soul and,3,1,2
the iniquity of,3,1,44
day which was,3,1,1
are left of,3,1,2
vain for,2,1,9
have brought the,3,1,5
thou shalt have no more,5,1,1
them all and,3,1,6
shall be saved,3,11,25
three witnesses shall every,4,1,1
give them unto,3,1,6
to receive such,3,1,1
signs shall,2,3,2
them upon the,3,1,23
is there not,3,1,9
and behold this,3,5,5
which are in heaven,4,1,3
beat,1,1,36
john that,2,1,2
bear,1,59,215
ride upon horses,3,1,3
called and chosen and,4,1,1
kindred and tongue and,4,1,2
world that he gave,4,1,1
wrong and,2,1,1
things for i,3,1,1
feared and,2,1,4
even the law of,4,1,1
hand and in,3,1,2
the ministering,2,8,3
world give,2,1,1
the lord concerning,3,9,11
any manner of,3,1,10
may enter,2,2,3
vengeance with,2,1,1
hand and he,3,1,12
sing the song of,4,1,1
time in a,3,1,1
and smite the earth with,5,1,1
inhabitants thereof and,3,1,4
city and,2,5,178
for the glory of god,5,1,2
gave his only,3,1,1
will make him,3,1,9
hearkened unto my words,4,2,1
lord is the,3,2,11
pertaining to,2,25,7
and thou,2,30,601
seek to,2,9,10
i am alpha and omega,5,8,4
the lord god for,4,1,1
will never,2,1,5
after many,2,3,7
caught up,2,7,4
regarded,1,2,9
the gathering together of,4,3,1
thou find out,3,1,1
and make his,3,2,3
their substance,2,2,9
been,1,182,331
bones to,2,1,1
which was sealed,3,1,1
unto the place which,4,1,8
and of god,3,1,2
me and i will,4,3,28
parts of the,3,3,20
guide and,2,1,1
unto the lord an,4,2,3
and unto the city of,5,1,1
in his own mind,4,1,1
be fulfilled which he,4,1,3
be restored,2,2,4
the beginning and,3,11,9
holy ghost to,3,5,1
my mouth even,3,1,1
the number of the,4,1,45
heaven clothed with,3,1,1
when they shall be,4,1,3
of part,2,1,2
after this manner shall,4,1,1
great joy,2,5,11
of israel from the,4,1,4
and moses the,3,1,1
any that,2,3,22
came and dwelt in the,5,1,1
lord in the,3,9,47
i curse,2,1,1
bad as,2,1,2
gift of the holy,4,7,2
and behold thou,3,2,8
father what,2,1,2
but where,2,1,5
an angel of,3,3,17
and thus,2,33,25
behold we have,3,1,1
